"filename", "language", "JSON", "Markdown", "JavaScript", "PHP", "SCSS", "comment", "blank", "total"
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\IMPLEMENTATION_SUMMARY.md", "Markdown", 0, 262, 0, 0, 0, 0, 68, 330
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\NEXT_STEPS.md", "Markdown", 0, 326, 0, 0, 0, 9, 87, 422
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\README.md", "Markdown", 0, 182, 0, 0, 0, 0, 47, 229
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\app\Http\Controllers\ApplicantPortalController.php", "PHP", 0, 0, 0, 26, 0, 21, 10, 57
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\app\Http\Controllers\ApplicationController.php", "PHP", 0, 0, 0, 67, 0, 18, 19, 104
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\app\Http\Controllers\DashboardController.php", "PHP", 0, 0, 0, 64, 0, 17, 17, 98
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\app\Http\Controllers\JobPostingController.php", "PHP", 0, 0, 0, 315, 0, 62, 61, 438
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\app\Http\Controllers\ProfileController.php", "PHP", 0, 0, 0, 137, 0, 35, 31, 203
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\app\Providers\ApplicantPortalServiceProvider.php", "PHP", 0, 0, 0, 95, 0, 33, 27, 155
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\app\Providers\EventServiceProvider.php", "PHP", 0, 0, 0, 9, 0, 13, 6, 28
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\app\Providers\RouteServiceProvider.php", "PHP", 0, 0, 0, 25, 0, 18, 8, 51
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\composer.json", "JSON", 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\config\config.php", "PHP", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\database\seeders\ApplicantPortalDatabaseSeeder.php", "PHP", 0, 0, 0, 9, 0, 4, 4, 17
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\module.json", "JSON", 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\package.json", "JSON", 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\resources\assets\js\app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\resources\assets\sass\app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\resources\views\applications\index.blade.php", "PHP", 0, 0, 0, 190, 0, 0, 15, 205
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\resources\views\applications\show.blade.php", "PHP", 0, 0, 0, 401, 0, 0, 32, 433
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\resources\views\components\layouts\master.blade.php", "PHP", 0, 0, 0, 146, 0, 4, 13, 163
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\resources\views\dashboard.blade.php", "PHP", 0, 0, 0, 616, 0, 6, 60, 682
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\resources\views\index.blade.php", "PHP", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\resources\views\job-postings\apply.blade.php", "PHP", 0, 0, 0, 1312, 0, 25, 138, 1475
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\resources\views\job-postings\index.blade.php", "PHP", 0, 0, 0, 164, 0, 0, 13, 177
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\resources\views\job-postings\show.blade.php", "PHP", 0, 0, 0, 322, 0, 0, 27, 349
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\routes\api.php", "PHP", 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\routes\web.php", "PHP", 0, 0, 0, 54, 0, 34, 20, 108
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\ApplicantPortal\vite.config.js", "JavaScript", 0, 0, 23, 0, 0, 29, 6, 58
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\README.md", "Markdown", 0, 324, 0, 0, 0, 0, 95, 419
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\DTOs\AcademicDTO.php", "PHP", 0, 0, 0, 35, 0, 0, 5, 40
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\DTOs\ApplicationDTO.php", "PHP", 0, 0, 0, 71, 0, 0, 5, 76
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\DTOs\ExperienceDTO.php", "PHP", 0, 0, 0, 35, 0, 0, 5, 40
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\DTOs\KnowledgeDTO.php", "PHP", 0, 0, 0, 23, 0, 0, 5, 28
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\DTOs\PersonalDataDTO.php", "PHP", 0, 0, 0, 38, 0, 0, 5, 43
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\DTOs\ProfessionalRegistrationDTO.php", "PHP", 0, 0, 0, 32, 0, 0, 5, 37
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\DTOs\SpecialConditionDTO.php", "PHP", 0, 0, 0, 35, 0, 0, 5, 40
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\DTOs\TrainingDTO.php", "PHP", 0, 0, 0, 32, 0, 0, 5, 37
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Entities\AcademicCareer.php", "PHP", 0, 0, 0, 79, 0, 32, 21, 132
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Entities\AcademicCareerEquivalence.php", "PHP", 0, 0, 0, 68, 0, 21, 18, 107
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Entities\AcademicCareerSynonym.php", "PHP", 0, 0, 0, 62, 0, 22, 18, 102
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Entities\Application.php", "PHP", 0, 0, 0, 133, 0, 51, 25, 209
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Entities\ApplicationAcademic.php", "PHP", 0, 0, 0, 45, 0, 9, 9, 63
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Entities\ApplicationDocument.php", "PHP", 0, 0, 0, 107, 0, 31, 19, 157
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Entities\ApplicationExperience.php", "PHP", 0, 0, 0, 59, 0, 9, 13, 81
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Entities\ApplicationHistory.php", "PHP", 0, 0, 0, 92, 0, 15, 14, 121
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Entities\ApplicationKnowledge.php", "PHP", 0, 0, 0, 28, 0, 6, 7, 41
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Entities\ApplicationProfessionalRegistration.php", "PHP", 0, 0, 0, 45, 0, 9, 10, 64
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Entities\ApplicationSpecialCondition.php", "PHP", 0, 0, 0, 49, 0, 9, 10, 68
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Entities\ApplicationTraining.php", "PHP", 0, 0, 0, 30, 0, 3, 7, 40
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Entities\TempJobProfileCareerMapping.php", "PHP", 0, 0, 0, 84, 0, 25, 19, 128
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Enums\ApplicationStatus.php", "PHP", 0, 0, 0, 96, 0, 0, 8, 104
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Enums\DegreeType.php", "PHP", 0, 0, 0, 45, 0, 0, 6, 51
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Enums\DocumentType.php", "PHP", 0, 0, 0, 51, 0, 0, 8, 59
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Enums\HistoryEventType.php", "PHP", 0, 0, 0, 64, 0, 0, 6, 70
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Enums\ProficiencyLevel.php", "PHP", 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Enums\RegistrationType.php", "PHP", 0, 0, 0, 24, 0, 0, 5, 29
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Enums\SpecialConditionType.php", "PHP", 0, 0, 0, 40, 0, 0, 6, 46
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Events\ApplicationEvaluated.php", "PHP", 0, 0, 0, 12, 0, 0, 5, 17
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Events\ApplicationSubmitted.php", "PHP", 0, 0, 0, 12, 0, 0, 5, 17
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Events\ApplicationUpdated.php", "PHP", 0, 0, 0, 12, 0, 0, 5, 17
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Http\Controllers\ApplicationController.php", "PHP", 0, 0, 0, 144, 0, 30, 37, 211
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Http\Requests\StoreApplicationRequest.php", "PHP", 0, 0, 0, 91, 0, 24, 16, 131
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Http\Requests\UpdateApplicationRequest.php", "PHP", 0, 0, 0, 67, 0, 17, 13, 97
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Listeners\LogApplicationEvaluated.php", "PHP", 0, 0, 0, 22, 0, 3, 5, 30
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Listeners\LogApplicationSubmitted.php", "PHP", 0, 0, 0, 15, 0, 3, 4, 22
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Listeners\LogApplicationUpdated.php", "PHP", 0, 0, 0, 15, 0, 3, 4, 22
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Listeners\SendApplicationSubmittedNotification.php", "PHP", 0, 0, 0, 16, 0, 6, 6, 28
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Policies\ApplicationPolicy.php", "PHP", 0, 0, 0, 81, 0, 45, 24, 150
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Providers\ApplicationServiceProvider.php", "PHP", 0, 0, 0, 108, 0, 35, 31, 174
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Providers\EventServiceProvider.php", "PHP", 0, 0, 0, 20, 0, 13, 6, 39
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Providers\RouteServiceProvider.php", "PHP", 0, 0, 0, 25, 0, 18, 8, 51
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Repositories\ApplicationRepository.php", "PHP", 0, 0, 0, 149, 0, 7, 27, 183
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Repositories\Contracts\ApplicationRepositoryInterface.php", "PHP", 0, 0, 0, 23, 0, 45, 18, 86
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Services\ApplicationService.php", "PHP", 0, 0, 0, 187, 0, 65, 37, 289
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Services\AutoGraderService.php", "PHP", 0, 0, 0, 272, 0, 49, 56, 377
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\app\Services\EligibilityCalculatorService.php", "PHP", 0, 0, 0, 157, 0, 67, 39, 263
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\composer.json", "JSON", 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\config\config.php", "PHP", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\database\migrations\2025_12_10_000001_create_applications_table.php", "PHP", 0, 0, 0, 50, 0, 14, 13, 77
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\database\migrations\2025_12_10_000002_create_application_academics_table.php", "PHP", 0, 0, 0, 28, 0, 9, 8, 45
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\database\migrations\2025_12_10_000003_create_application_experiences_table.php", "PHP", 0, 0, 0, 31, 0, 11, 10, 52
"c:\Users\PracticanteOTI\Desktop\CAS v2\cas-mdsj\Modules\Application\database\migrations\2025_12_10_000004_create_application_trainings_table.php", "PHP", 0, 0, 0, 27, 0, 9, 8, 44
